content,content_stem,score,target
"It used to be good. I didn't have any problems ordering or buying stuffs but recently, the platform sucks. The platform won't allow me or the seller to cancel the order and the auto cancellation system kept dragging the cancellation date. I did ask the customer service personnels to help but all they could suggest is to ask me 'to wait till the auto cancellation occur'. I will uninstall this app once I received my refunds. EDIT 1: I did sent 3 feedbacks and the replies are all the same; asking me to wait till the auto cancellation date occurs. so please don't ask me to send anymore feedbacks unless you can really do something about it . EDIT 2 : Finally the transaction has been cancelled after sending 3 emails to ask for a solution. If i didn't brought this issue here, i doubt anything will be done other than asking me to wait. I have yet to receive any emails or messages stating whether i will be receiving any refunds.",use good problem order buy stuff recent platform suck platform allow cancel order auto cancel system kept drag cancel date ask custom servic personnel help could suggest ask wait till auto cancel occur uninstal receiv refund edit sent feedback repli ask wait till auto cancel date occur pleas ask send anymor feedback unless realli someth edit final transact cancel send email ask solut brought issu doubt anyth done ask wait yet receiv email messag state whether receiv refund,2,1
Love it. Almost everything is under one platform.,love almost everyth one platform,5,0
"Been shopping quite a while with shoppe, nagivation is easy and discount for some products are great. Reliable and refund is done promptly.",shop quit shopp nagiv easi discount product great reliabl refund done promptli,5,0
Alot of things can be found in shoppee. Some things will arrive very early and some things will take abit longer to arrive. Overall satisfied and the price is affordable.,alot thing found thing arriv earli thing take abit longer arriv overal satisfi price afford,5,0
"Lousy Services... They suddenly prompted me if I pay using shopee pay. There's an additional 1000 shopee coins to earn. So after topped up, the pin page jammed and I couldn't checkout, and it dragged another day to troubleshoot. End up the 1000 coins wasn't credited and I lost my 15‰ shopee cashback as it expired!! :< and of all, their email replied was ""Pertaining to your query, please be advised that the cashback is only applicable for successful orders."" Byee Shopee I'm gonna delete you soon.",lousi servic suddenli prompt pay use pay addit coin earn top pin page jam checkout drag anoth day troubleshoot end coin credit lost cashback expir email repli pertain queri pleas advis cashback applic success order byee gonna delet soon,1,1
"hi im from Philippines, y is it that my number is always invalid? it says here that i need to enter a number that is valid in singapore and malaysia.. pls help me",hi im philippin number alway invalid say need enter number valid singapor malaysia pl help,1,1
Good,good,3,1
Been using for a long time.. simple and easy to use.,use long time simpl easi use,5,0
"Great app, but i cannot checkout my items and its very frustrating. When i reach the payment page, it doesn't load....",great cannot checkout frustrat reach payment page load,3,1
I enjoyed shipping alot at shopee. I have also share my shopping experience with my family members and friends.,enjoy ship alot also share shop experi famili member friend,5,0
Good price and relatively fast delivery.,good price rel fast deliveri,5,0
Been using the app for a long time but it's been very slow these past few weeks . It takes quite a while to load . Please do look into this,use long time slow past week take quit load pleas look,3,1
useless app takes forever to load,useless take forev load,1,1
Most seller is respose fast on message send and good quality of the item,respos fast messag send good qualiti,5,0
"sadly it filters out other shopee accounts from other country. therefore, in shopee sg are mostly local base resellers. as a result, some of the waiting time would stil be 2-4weeks working days. Also their dispute system is the worse ever. Simply take too long to response.",sadli filter account countri therefor sg mostli local base resel result wait time would stil week work day also disput system wors ever simpli take long respons,1,1
"Dear all.. read my review.. DO NOT BUY ANYTHING FROM SHOPEE. They are a 
bunch of crooks. Paid for my item. Did not come at all.. even thou shopee 
have a so called guaranteed refund period. They did not honour that and 
push me to communicate with seller. With no tracking number, the seller and 
shopee got the cheek to ask me to call local postal services to track my 
parcel. End up seller gave an email address addressing to Malaysia postal 
services whereby i am in singapore!! Delete Shopee app. They are lousy. I 
even have all the correspondence as prove to my claims.",dear read review buy anyth bunch crook paid come even thou call guarante refund period honour push commun track number got cheek ask call local postal servic track parcel end gave email address address malaysia postal servic wherebi singapor delet lousi even correspond prove claim,1,1
Very bad in delivery ...dont order this website,deliveri dont order websit,1,1
"The option for bank transfer should be shortened in time. 3 days is too 
long, that makes them sometimes forget the unpaid deal, drag too long for 
sellers too. Should be either 1 or 2 days max. The product category is 
pretty vague for some products. The product uploaded keep being deleted for 
some weird and unclear reason.",option bank transfer shorten time day long make sometim forget unpaid deal drag long either day max product categori pretti vagu product product upload keep delet weird unclear reason,1,1
Great app,great,4,0
Everything oj,everyth oj,5,0
"Very good experience with Shopee, will recommend to purchase some good deals on Shopee website.👍",good experi recommend purchas good deal websit,5,0
Nice,nice,4,0
Easy to use app,easi use,5,0
good,good,5,0
Can you fix the issue!!! Its down the drain since the last update!!!,fix issu drain sinc last updat,4,0
Love this app so mucj,love mucj,5,0
Easy to use n deal with,easi use n deal,5,0
Prompt and fast delivery. Product in best condition,prompt fast deliveri product best condit,5,0
Need to improve on the apps. quite lagging recently.,need improv app quit lag recent,2,1
Great deals,great deal,5,0
"Although at times met with some unscrupulous sellers, but overall Shopee make my shopping experience wonderful.",although time met unscrupul overal make shop experi wonder,4,0
a lot of defects,lot defect,1,1
Recent update of the app facing Internet connectivity issues specific to the app. Other apps load fine.,recent updat face internet connect issu specif app load fine,3,1
Smooth apps to use. I would recommend new users to try and experience it yourself. User friendly and it is really a great Apps to use. I'm very happy w/ Shopee's Application and User experience. Thanks Shopee (: Stay safe Everyone. And have a great day! ^^ .,smooth app use would recommend new user tri experi user friendli realli great app use happi w applic user experi thank stay safe everyon great day,5,0
"I love to order items at SHOPEE , is SUPER GREAT.",love order super great,5,0
Easy to use. Hope they can improve the search function,easi use hope improv search function,5,0
"poor, can't send msg to seller. Request mobile number verify. However, my mobile number already been taken which I'm never register!!! Pls fix this problem",poor send msg request mobil number verifi howev mobil number alreadi taken never regist pl fix problem,1,1
Still ok,still ok,3,1
"One of the easiest and best online shop, reliable.",one easiest best onlin shop reliabl,5,0
Meh,meh,3,1
"Asks for my hp to send OTP, gave registered no, CANNOT GET THROUGH! Which bloody fool did this?!? What stupid programming is this?!?",ask hp send otp gave regist cannot get bloodi fool stupid program,1,1
Cannot proceed with the payment using visa. Please check.,cannot proceed payment use visa pleas check,3,1
"Fast delivery, easy to order, good and convenient during this circuit breaker period.",fast deliveri easi order good conveni circuit breaker period,5,0
Trusted shopping app and fast,trust shop fast,5,0
User friendly. Items are cheaper than other platforms. Can earn shopee coins via games etc.,user friendli cheaper platform earn coin via game etc,5,0
"I don't know what the heck is happening but all my items that are being bought  have been stuck at like the sorting hubs or like cross border transit , then shoppee ask me to extend guarantee for those items ( which is 90% of my "" to recieve "" ) , then ofc if they in another country the guarantee expect the items to come to singapore in like 2 or 3 days , so fast ? i dont even know how to grasp the concept of that , then after waiting so long for an item that i bought 1 month over now need to be refunded ? seriously whats happening ??? this phenomena happend to like 90% of my items that ive yet to recieved . At this pace all my item that ive bought will have to be refunded. Then whats the point of shopping on it ? in the end all also wasted ?",know heck happen bought stuck like sort hub like cross border transit ask extend guarante reciev ofc anoth countri guarante expect come singapor like day fast dont even know grasp concept wait long bought month need refund serious what happen phenomena happend like ive yet reciev pace ive bought refund what point shop end also wast,1,1
Very good quality,good qualiti,5,0
Great app! Great Shopping! Just Awesome! I Only Shop Here!!! Thank You!,great great shop awesom shop thank,5,0
3.75 stars.Safe shopping but can't find any Chinese herbs to shop. Hope there will be Chinese herbs to buy.,star safe shop find chines herb shop hope chines herb buy,3,1
A bit late for delivery bt overall in good.,bit late deliveri bt overal good,4,0
Great app,great,5,0
"I have a funny expirience i want to buy some tools then i found so nice at the picture so i order it quickly, after two days my order was at home im so excited that time but when i open it it was a toy.😂 seriously a toy? What's this shopee",funni expiri want buy tool found nice pictur order quickli two day order home im excit time open toy serious toy,1,1
Good,good,5,0
"Payment page is such a failure, add items to cart and unable to make payment, 4 times called helpdesk but keep reply sorry and understand my frustration, ask me uninstall n reinstall, log in log out, on off phone, delete payment type n add again, switch to others phone and laptop, still cannot solve my problems, till now still nothing is done after the call. Disappointed app",payment page failur add cart unabl make payment time call helpdesk keep repli sorri understand frustrat ask uninstal n reinstal log log phone delet payment type n add switch other phone laptop still cannot solv problem till still noth done call disappoint,1,1
App.kerp on CRASHING... WHAT IS HAPPENING TO SHOPEE APP.?,kerp crash happen,3,1
"Fix your app Shopee,super buggy. Tried to log into my account but failed for more than a week now? Do smth bout it thnks",fix super buggi tri log account fail week smth bout thnk,1,1
"How come now after I made the purchase, I cannot see which card I used to make the payment. At least the last 4 digits of the card should be shown.",come made purchas cannot see card use make payment least last digit card shown,1,1
I have spent like $500 on their shops. Yet they remain unresponsive to my query on their app. Don't bother download if you think someday you might need their help on the app. Go look somewhere else where ypur spending is appreciated.,spent like shop yet remain unrespons queri bother download think someday might need help go look somewher els ypur spend appreci,1,1
"Always stuck, need to exit and start back, lots of bugs issue.",alway stuck need exit start back lot bug issu,1,1
Easy to use. Daily flash sales at different timing. And reminder will alert u on ur item b4 flash sales start.,easi use daili flash sale differ time remind alert u ur b flash sale start,5,0
Good information good shopping good delivery,good inform good shop good deliveri,4,0
"Very terrible app, I just uninstalled. Worst than Qoo10, atleast in Qoo10 you can smell the scammers. This app is full of fakes. Bought a marshall earpiece from their trusted Official Marshall Shop, the sound sucks so much which I paid at a high price. I bought it on May , now it's only July but broke already, it didnt get crushed or damaged externally as it has a hard cover. Looks like it was glued only and glue worn off. !@#$ you Shopee and your sellers.",terribl uninstal worst qoo atleast qoo smell scammer full fake bought marshal earpiec trust offici marshal shop sound suck much paid high price bought may juli broke alreadi didnt get crush damag extern hard cover look like glu glue worn,1,1
Can't do any purchase kept getting White Screen. Please fix it.,purchas kept get white screen pleas fix,3,1
Good and easy to use with fast delivery,good easi use fast deliveri,5,0
Convenient shopping experience and competitive price 👍,conveni shop experi competit price,5,0
App sometimes gets laggy,sometim get laggi,4,0
I was at first weary if Shopee would help resolve the issue with a portable table that came damaged. Glad to know that they were fair to both parties by asking for more evidence from me when vendor claimed that the delivery company should be made responsible instead.,first weari would help resolv issu portabl tabl came damag glad know fair parti ask evid vendor claim deliveri compani made respons instead,4,0
Quite a good app.. especially the shipping options i like,quit good especi ship option like,5,0
Nice,nice,5,0
"The layout and feel is like lazada, aliexpress. I like it. In terms of vouchers, they are quite competitive. I have some successful buys there. However there was no option for open dispute feature after you received the items like lazada, aliexpress, wish etc. In a nutshell, hope to see more improvement in customer support feature such as live chat etc..",layout feel like lazada aliexpress like term voucher quit competit success buy howev option open disput featur receiv like lazada aliexpress wish etc nutshel hope see improv custom support featur live chat etc,4,0
Would like to see more relevant introduction of products,would like see relev introduct product,4,0
nice shopping👍👍👍,nice shop,5,0
90% is very fast in shipping,fast ship,5,0
Got to improve the quality of the sellers,got improv qualiti,3,1
Super.......😃,super,5,0
I love shopee app and I can enjoy the deal for online shopee but the $1.00 I buy so many time but never get to win.,love enjoy deal onlin buy mani time never get win,5,0
Easy to use got freebie too!,easi use got freebi,4,0
Alwiz view my needs here n frequently order it.,alwiz view need n frequent order,1,1
App is lagging,lag,1,1
Good!!!!,good,4,0
"Update on 25052018: Hey shopee, you didn't help me back then, why now? 
Behind every one star review is a story. I use this app a lot and it 
usually does not give me much problems. But for one particular incident 
where I felt cheated, here's the story: Bought Hong Lian ghim kee's 5kg 
paddy king rice during time sale. Promo clearly shows that there will be 
free canola oil with every purchase of the rice. (Promo will only be worth 
it because of the foc oil.) During delivery, only 5kg rice came and the oil 
was never to be seen again. So with hope I opened the app hoping that I 
could solve the dispute. But to my horror, the picture showing the free 
gift has been removed in the listing and seller will not honour the free 
gift! Submitted claim and shoppee refuted my claim, saying that seller had 
delivered everything already. Unlike other apps which will solve such 
issues, shoppee does not. Please think twice before using this app.",updat hey help back behind everi one star review stori use lot usual give much problem one particular incid felt cheat stori bought hong lian ghim kee kg paddi king rice time sale promo clearli show free canola oil everi purchas rice promo worth foc oil deliveri kg rice came oil never seen hope open hope could solv disput horror pictur show free gift remov list honour free gift submit claim refut claim say deliv everyth alreadi unlik app solv issu pleas think twice use,1,1
Gd app to shop in,gd shop,4,0
Easy to use,easi use,5,0
Very nice app for shopping! Items are relatively much cheaper than retail. Easy and smooth platform for both buyers and sellers. So happy to chance upon Shopee!,nice shop rel much cheaper retail easi smooth platform buyer happi chanc upon,5,0
"I can't believe they are selling 1TB-2TB Samsung flash drive at such low prices. It's either false advertising or not a genuine product, but some cheap imitation or even a scam!",believ sell tb tb samsung flash drive low price either fals advertis genuin product cheap imit even scam,1,1
If delivery fee can be absorb by shoppee.. that would be great,deliveri fee absorb would great,4,0
"A little confusing to navigate at first, once used to it, there's plenty of interesting find.",littl confus navig first use plenti interest find,5,0
can deliver to Malaysia,deliv malaysia,1,1
"a very good app to use and parcel not delayed despite the virus outbreak. The only bad thing is that I do not have the choice to choose the delivery time, for the parcel to be delivered to my house and have to reschedule with ninja van again if I am not at home to collect the parcel.",good use parcel delay despit viru outbreak thing choic choos deliveri time parcel deliv hous reschedul ninja van home collect parcel,4,0
Sick n tired over unwanted pushed messages. Sucks!,sick n tire unwant push messag suck,1,1
Good,good,5,0
Good price,good price,4,0
well designed app however keeps loading forever and hanging every 10 seconds I need to restart the app then it will load properly I am using the Razer phone 2 btw a gaming phone so it's not my phone lagging being the problem,well design howev keep load forev hang everi second need restart load properli use razer phone btw game phone phone lag problem,3,1
Great choices and selection and allows buyer to indicate receipt in accepted condition before payment to seller unlike some other online platforms.,great choic select allow buyer indic receipt accept condit payment unlik onlin platform,4,0
Can you add more payment options bacause as a kid it's very hard to find apps that have cash on delivery,add payment option bacaus kid hard find app cash deliveri,4,0
So far so good,far good,5,0
Great shopping experience. Outshine than q10 or Lazada.,great shop experi outshin q lazada,5,0
"All images r truncated. Can't fit in one screen. Can't even scroll to view the full image. Can't view the variable options to select too. The discount coupon are too volantile. Period of use is too short. Getting a coupon is already difficult but on top of that one might not be able to use it cause its fully claimed! Come on! In this aspect, Qoo10 is better. If you manage to get a coupon, it is definitely reserved for your use. And the validity is longer... Not 2 hrs or 1d only",imag r truncat fit one screen even scroll view full imag view variabl option select discount coupon volantil period use short get coupon alreadi difficult top one might abl use caus fulli claim come aspect qoo better manag get coupon definit reserv use valid longer hr,2,1
i ask you rectify tell me whats going on not cancel my damn order,ask rectifi tell what go cancel damn order,1,1
"After update the screen resolution (page too big for mobile viewing) having issue when click into shopee, will be kicked out from app and need to re-launch app again. Also shopee customer support response is slow and sometime no response. Shopee Farm harvested item order was cancelled without refund or replacement.",updat screen resolut page big mobil view issu click kick need launch also custom support respons slow sometim respons farm harvest order cancel without refund replac,1,1
Very interesting & fun to have this online shopping platform. There're games inside for you earn coins and able to rebate during payment. 💯💯💯 THANK YOU SHOPEE ❤,interest fun onlin shop platform game insid earn coin abl rebat payment thank,5,0
Good product and good price,good product good price,4,0
"Great app. Easy to use. Like those games, for play and for earning coins",great easi use like game play earn coin,5,0
i dont get it after i updated this app now its a total trash.... i regretted for updating it...for its very useful before.... now it sucks and 98% useless why? im a good buyer i dont have any problem with it....sinced just after the updates....,dont get updat total trash regret updat use suck useless im good buyer dont problem sinc updat,1,1
Great app. Cheap products and very easy to purchase. Lots of promotions,great cheap product easi purchas lot promot,5,0
"was disappointed with my latest purchase where it was written 15 days return to ensure that our shopping experience is happy is nothing but a false hope with no further clarification with pictures to support customer's claim. just don't fall for its 15 days return policy claims, sure falls short compare to other online shopping apps",disappoint latest purchas written day return ensur shop experi happi noth fals hope clarif pictur support custom claim fall day return polici claim sure fall short compar onlin shop app,1,1
App search is really buggy. Sometimes u enter and search the search page goes to another search page. And you have to keep tapping search if u want the item to be searched. Also back need press a number of times to reach front page cuz of this bug. Will re review this once this bug has been fixed.,search realli buggi sometim u enter search search page goe anoth search page keep tap search u want search also back need press number time reach front page cuz bug review bug fix,1,1
Great app,great,5,0
The go to app whenever I want to purchase things! Price is rather competitive to other app. Usually their price is reasonable and lowest among all. Very reliable and trustable app. Easy to use too! One thing I like is that they provide door step delivery at low cost. Unlike other app which u have to pay for delivery to your door step.,go whenev want purchas thing price rather competit usual price reason lowest among reliabl trustabl easi use one thing like provid door step deliveri low cost unlik u pay deliveri door step,5,0
Vouchers given are difficult to get. Getting the vouchers doesn't mean you're entitled to the savings / discounts. Must make quick purchasing decisions. Takes time to get familiar with the system.,voucher given difficult get get voucher mean entitl save discount must make quick purchas decis take time get familiar system,4,0
Lots of good products with good price in this apps.,lot good product good price app,5,0
Easy and reposibility,easi repos,3,1
Loving the ease of shopping and returns. Affordable products from the region and Singapore. Easy return process and free deliveries!,love eas shop return afford product region singapor easi return process free deliveri,5,0
Quality of goods matched the review and picture advertised. Purchase status and whereabouts can be tracked from the apps and delivery service providers. Had a good shopping experience with Shopee!,qualiti good match review pictur advertis purchas statu whereabout track app deliveri servic provid good shop experi,4,0
Always my first app to go to for any online shopping.,alway first go onlin shop,4,0
Fast and reliable,fast reliabl,5,0
"Best shopping app so far. Easy to use and really safe. Better experience than Lazada, AliExpress and other platform.",best shop far easi use realli safe better experi lazada aliexpress platform,5,0
"Has anyone started receiving spam sms and calls after registering your 
phone number with Shopee? I had a issue of multiple failed attempts of 
registering my phone number using web browser, the next day I started 
receiving a lot of spam smses.",anyon start receiv spam sm call regist phone number issu multipl fail attempt regist phone number use web browser next day start receiv lot spam smse,1,1
Reliable.,reliabl,4,0
Great apps on my S5E tablet. So far so good. Hope it stays the way it should be.,great app e tablet far good hope stay way,5,0
Bought more than 10 items here and I am satisfied with the goods I received,bought satisfi good receiv,5,0
A lot of great deals and user friendly.,lot great deal user friendli,5,0
Easy to use and charges are clear. Find the wait for verification of bank transfer a bit annoying. Should have selected payment by credit card.,easi use charg clear find wait verif bank transfer bit annoy select payment credit card,4,0
Great app. They use reliable delivery company :),great use reliabl deliveri compani,5,0
Start using more often during CB. Can find a lot souces over here. Price may be higher a bit than usual but still consider a good choice.,start use often cb find lot souc price may higher bit usual still consid good choic,5,0
Easy to order!,easi order,5,0
"Shopee had come a long way! When it initially started, i didn't find much of what i need. Now its comparable & perhaps even more competitive than other shopping apps! Thumbs up!",come long way initi start find much need compar perhap even competit shop app thumb,5,0
Good platform for value for money purchases.,good platform valu money purchas,5,0
Item rcv on time and in good condition.,rcv time good condit,5,0
Very cheap items and got lots of freebies got games to earn coins and cash backs... Fast delivery too compared to other apps.,cheap got lot freebi got game earn coin cash back fast deliveri compar app,5,0
Good functional app. Easy to browse and order.,good function easi brows order,5,0
So many items to choose from and at reasonable prices 😊,mani choos reason price,5,0
Also if item to shop. But when update the application seem lag,also shop updat applic seem lag,5,0
So far the exprience with shopee are good. And delivery during this pandemic period is really fast! Unlike other online market cannot even place order…,far exprienc good deliveri pandem period realli fast unlik onlin market cannot even place order,5,0
Love it,love,2,1
good can be improved,good improv,3,1
"Not Worth to Trust this Type of Online Shopping, Customer Service Chat is Very Bad & is Not A Good Way to Connect with Customers",worth trust type onlin shop custom servic chat good way connect custom,1,1
Great app but quite a number od lousy sellers. Ordered blue colour but item came in pink colour; ordered items in Flash Deals and paid for shipping on all but sellers cancelled it. Dubious and unreliable sellers!,great quit number od lousi order blue colour came pink colour order flash deal paid ship cancel dubiou unreli,3,1
how to change the price of my shoppe dollar amount how to change into a piso,chang price shopp dollar amount chang piso,2,1
scam scam.........DO NOT EVER USE THIS STUPID APP!,scam scam ever use stupid,1,1
"I ordered 10 parcels and the sellers cancelled 3 of them. I never experienced anything like that when online shopping. However, it's happened because shopee let unauthorized seller work in their flatform. Never buy again.",order parcel cancel never experienc anyth like onlin shop howev happen let unauthor work flatform never buy,2,1
After update. It lag.,updat lag,3,1
Easy to use click and buy... That's it,easi use click buy,5,0
Easy to use platform.,easi use platform,5,0
App causes my phone hang and was so lagging. Please fix it. Thanks.,caus phone hang lag pleas fix thank,2,1
Great app. Easy to use and make shopping online easier.,great easi use make shop onlin easier,5,0
Trusted fast efficient,trust fast effici,5,0
"After update and before updates, there's more bugs and glitch. All my user interface are enlarged by 50%. How am i suppose to have a proper view of the products I'm going to purchase.",updat updat bug glitch user interfac enlarg suppos proper view product go purchas,1,1
So far is okay,far okay,4,0
Good,good,4,0
Edit as of 27/1/2020 The search filter keeps on popping up when I'm scrolling and the new app has more bugs than the past version lol. The guaranteed lowest price claim doesn't hold true either lol Edit as of 14/4/2020 wth the digital coupons have their own checkout area which is confusing as heck and only can use credit card to pay lol,edit search filter keep pop scroll new bug past version lol guarante lowest price claim hold true either lol edit wth digit coupon checkout area confus heck use credit card pay lol,1,1
"Shopee Dispute agent is not so responsive. They don't value buyer feedback and in fact, they do not chat with us more in details to find out of our problems. Hence I feel the dispute service is not so effective if the seller is using fake description and playing with words. In the end buyer gotta accept the facts.",disput agent respons valu buyer feedback fact chat us detail find problem henc feel disput servic effect use fake descript play word end buyer gotta accept fact,1,1
Best with no delivery fees.,best deliveri fee,5,0
"I feel like the main page is too ""crowded"" with info..but nothing the search engine cant resolve.dont usually waste time with scrolling",feel like main page crowd info noth search engin cant resolv dont usual wast time scroll,5,0
"disappoint with the seller, they put price and we purchase but when they find out the price is lower... they ask we to cancel.... very unfair to buyer...",disappoint put price purchas find price lower ask cancel unfair buyer,1,1
Good and easy to use,good easi use,5,0
Keep showing me Server Error and Paymeny Failed ! Useless app! What server error? Why payment failed? Why can't you provide a reason?,keep show server error paymeni fail useless server error payment fail provid reason,1,1
So far so good. However dk how the lucky draw for the $1 works.,far good howev dk lucki draw work,5,0
Good app,good,4,0
"Quite buggy these few days, not sure if it because of the new shoppe games they came out with. But the overall experience was better last time, now it keep resizing when I open. Sometimes its perfect, sometimes it way too zoomed in and I'll have to restart the app",quit buggi day sure new shopp game came overal experi better last time keep resiz open sometim perfect sometim way zoom restart,3,1
I like the app but if i look at the shipping fee its free but whrn i buy it it has shipping fee duhhhhh,like look ship fee free whrn buy ship fee duhhhhh,2,1
Don't like to source about,like sourc,3,1
Easy and fuss free shopping experience!,easi fuss free shop experi,5,0
Almost always my go-to buying platform for its delivery guarantee and lowest price among the apps.,almost alway go buy platform deliveri guarante lowest price among app,5,0
Delivery quite fast and price reasonable. Like to shop at Shopee using the Shopee coins.,deliveri quit fast price reason like shop use coin,5,0
Many cheat seller!! Rubbish app! Waste money!,mani cheat rubbish wast money,1,1
"I bought alot of things online.. so far, shopee have proved to be the best in delivery, respond and quality.. price is competitive.. but plus point is the logistic pricing is fair.. as compare to wish, q0010, alibaba and amazon.",bought alot thing onlin far prove best deliveri respond qualiti price competit plu point logist price fair compar wish q alibaba amazon,5,0
Very bad with customer service.. No response at all,custom servic respons,1,1
Im sure your platform is competitive but I can't seem to sign up with my Google Mail nor Email. Error Message shown. Pls rectify it.,im sure platform competit seem sign googl mail email error messag shown pl rectifi,3,1
"Easy to navigate through this app. Made multiple purchases, especially during this Circuit Breaker period.",easi navig made multipl purchas especi circuit breaker period,5,0
Good app trustworthy,good trustworthi,5,0
so far the buyers listed are prompt and helpful,far buyer list prompt help,4,0
Enjoyed the cashback,enjoy cashback,4,0
The payment page keeps loading forever and could not proceed further,payment page keep load forev could proceed,1,1
So far so good,far good,4,0
"Shoppee is a good initative to let ppl use credit card for payment for individual user that are selling. However, the system is very unfriendly when i have try to deal with different voucher seller on 4 occasion when buying large amount of voucher for self usage. They dont release the money and hold it for very long. This have create long delay and unnecessary stress on both seller and buyer. Have feedback to them many time but no improvement have been make. The apps also have lag time to give notifcation as well.  They have also just banned my family member account just because we are buying voucher together due to daily limit of shoppee and does not allow any appeal. Such a shame.",good init let ppl use credit card payment individu user sell howev system unfriendli tri deal differ voucher occas buy larg amount voucher self usag dont releas money hold long creat long delay unnecessari stress buyer feedback mani time improv make app also lag time give notifc well also ban famili member account buy voucher togeth due daili limit allow appeal shame,1,1
"Hello, fix the forever loading pls. How do you expect people to even use the app when every single button just leads to loading.",hello fix forev load pl expect peopl even use everi singl button lead load,1,1
Nice but app hangs when i try to chat sometimes. Needs feature to show availability of sizes for shoes and clothes. No COD option,nice hang tri chat sometim need featur show avail size shoe cloth cod option,2,1
"Overall I find best price, rebate and shipping deal for same product vs others Great online shopping experience and improving every year in service, dispute, shipping and product fulfilment Check out Shopee great partnerships with Official Stores like Xiaomi, Ringke and other brand giants. Often with great promo prices and bundling with good free gifts In my online shopping experience, Shopee owner has extraordinary vision to out class AliExpress in service, produxct and delivery fulfilment",overal find best price rebat ship deal product vs other great onlin shop experi improv everi year servic disput ship product fulfil check great partnership offici store like xiaomi ringk brand giant often great promo price bundl good free gift onlin shop experi owner extraordinari vision class aliexpress servic produxct deliveri fulfil,5,0
Easy to navigate. Prefer shopping at shoppee than other platform.,easi navig prefer shop platform,5,0
Love the way how they presented their items and fast delivery.,love way present fast deliveri,5,0
There's been a problem with your app since the last update. Some pages do not load anymore. It's only happening in my Android phone. PLEASE FIX YOUR APP FOR ANDROID! THERE ARE SO MANY FUNCTIONS THAT CANNOT RUN!!!!,problem sinc last updat page load anymor happen android phone pleas fix android mani function cannot run,2,1
"Terrible shopping app, no returns no refunds always the dispute is settled towards the seller, customer service sends no replies, seriously I've deleted my app don't waste your time downloading this unless you are in mainland China",terribl shop return refund alway disput settl toward custom servic send repli serious delet wast time download unless mainland china,1,1
Is COD available..?,cod avail,3,1
Good and awsome experience,good awsom experi,5,0
Good app,good,5,0
Enjoy,enjoy,4,0
Good experience with shopee so far.,good experi far,5,0
Easy to use and happy with the purchase.,easi use happi purchas,5,0
Slow n choppy performance compared to iOS version.,slow n choppi perform compar io version,1,1
Very good...developer also protect consumers. Can purchase items without worrying money paid and not received product as the app function in the way that money released to seller only when order is received by consumers. 👍🏻👍🏻👍🏻,good develop also protect consum purchas without worri money paid receiv product function way money releas order receiv consum,4,0
Prompt service,prompt servic,4,0
THE SHOPEE ASSISTANCE HAS BULLY MY SON AND MADE MY SO CRY I DONT RECCOMENT U GUYS TO DOWNLOAD,assist bulli son made cri dont reccoment u guy download,1,1
"It has improved in range of goods, competitiveness of prices and prompt delivery. I used their competition previously but recently been finding Shopee better value.",improv rang good competit price prompt deliveri use competit previous recent find better valu,5,0
The app is perfect.. Don't add anymore functionality or it probably will lag.,perfect add anymor function probabl lag,5,0
"Cheap but good alternative to Amazon, it's not as bad as people say.",cheap good altern amazon peopl say,4,0
"Interface is good and all. Just a little problem. How do I sell my things if I can't add a bank account to receive payment? It always show ""Server Error"" whenever I try.",interfac good littl problem sell thing add bank account receiv payment alway show server error whenev tri,3,1
Cheap and nice!!!!,cheap nice,4,0
"Like Shopee because prices are more competitive than similar items on other on-line platforms. However, wait time for refund for Return/ Return is not as fast as Lazada.",like price competit similar line platform howev wait time refund return return fast lazada,4,0
